payment_id,order_id,payment_method,payment_amount
PAY_00161,ORD_00161,UPI,408.02
PAY_00162,ORD_00162,UPI,283.4
PAY_00163,ORD_00163,Credit Card,392.23
PAY_00164,ORD_00164,Debit Card,365.98
PAY_00165,ORD_00165,UPI,169.47
PAY_00166,ORD_00166,Cash,138.54
PAY_00167,ORD_00167,Credit Card,205.41
PAY_00168,ORD_00168,Cash,121.67
PAY_00169,ORD_00169,UPI,212.35
PAY_00170,ORD_00170,UPI,387.27
PAY_00171,ORD_00171,UPI,201.52
PAY_00172,ORD_00172,UPI,226.31
PAY_00173,ORD_00173,Cash,191.36
PAY_00174,ORD_00174,Debit Card,297.11
PAY_00175,ORD_00175,Debit Card,132.74
PAY_00176,ORD_00176,UPI,115.25
PAY_00177,ORD_00177,UPI,275.07
PAY_00178,ORD_00178,UPI,365.89
PAY_00179,ORD_00179,Debit Card,254.23
PAY_00180,ORD_00180,UPI,150.57
PAY_00181,ORD_00181,Cash,122.19
PAY_00182,ORD_00182,UPI,267.7
PAY_00183,ORD_00183,UPI,223.59
PAY_00184,ORD_00184,Cash,185.11
PAY_00185,ORD_00185,Debit Card,525.79
PAY_00186,ORD_00186,Credit Card,117.93
PAY_00187,ORD_00187,Debit Card,522.29
PAY_00188,ORD_00188,Cash,197.88
PAY_00189,ORD_00189,Debit Card,124.31
PAY_00190,ORD_00190,Cash,176.43
PAY_00191,ORD_00191,UPI,344.56
PAY_00192,ORD_00192,Credit Card,170.62
PAY_00193,ORD_00193,Debit Card,118.87
PAY_00194,ORD_00194,Credit Card,206.15
PAY_00195,ORD_00195,Credit Card,130.45
PAY_00196,ORD_00196,Cash,255.42
PAY_00197,ORD_00197,UPI,296.91
PAY_00198,ORD_00198,Credit Card,114.57
PAY_00199,ORD_00199,Credit Card,149.32
PAY_00200,ORD_00200,UPI,300.11
PAY_00201,ORD_00201,UPI,144.78
PAY_00202,ORD_00202,Debit Card,112.61
PAY_00203,ORD_00203,Cash,116.45
PAY_00204,ORD_00204,Credit Card,240.83
PAY_00205,ORD_00205,UPI,247.75
PAY_00206,ORD_00206,Debit Card,140.23
PAY_00207,ORD_00207,Cash,197.83
PAY_00208,ORD_00208,UPI,462.51
PAY_00209,ORD_00209,Credit Card,118.1
PAY_00210,ORD_00210,Credit Card,130.13
PAY_00211,ORD_00211,Credit Card,268.26
PAY_00212,ORD_00212,UPI,196.13
PAY_00213,ORD_00213,Cash,133.67
PAY_00214,ORD_00214,UPI,270.39
PAY_00215,ORD_00215,UPI,308.86
PAY_00216,ORD_00216,UPI,109.84
PAY_00217,ORD_00217,Debit Card,150.68
PAY_00218,ORD_00218,Credit Card,703.9
PAY_00219,ORD_00219,UPI,272.3
PAY_00220,ORD_00220,UPI,286.12
PAY_00221,ORD_00221,UPI,379.49
PAY_00222,ORD_00222,Debit Card,200.08
PAY_00223,ORD_00223,Cash,314.74
PAY_00224,ORD_00224,UPI,301.34
PAY_00225,ORD_00225,Credit Card,263.83
PAY_00226,ORD_00226,UPI,185.42
PAY_00227,ORD_00227,Credit Card,230.21
PAY_00228,ORD_00228,Credit Card,145.5
PAY_00229,ORD_00229,Credit Card,184.67
PAY_00230,ORD_00230,UPI,104.27
PAY_00231,ORD_00231,Debit Card,135.27
PAY_00232,ORD_00232,Debit Card,173.38
PAY_00233,ORD_00233,Cash,125.21
PAY_00234,ORD_00234,UPI,166.25
PAY_00235,ORD_00235,UPI,197.83
PAY_00236,ORD_00236,Credit Card,257.13
PAY_00237,ORD_00237,Debit Card,352.86
PAY_00238,ORD_00238,Cash,173.84
PAY_00239,ORD_00239,UPI,411.47
PAY_00240,ORD_00240,Debit Card,351.97
PAY_00241,ORD_00241,Credit Card,246.97
PAY_00242,ORD_00242,UPI,236.3
PAY_00243,ORD_00243,UPI,245.04
PAY_00244,ORD_00244,Debit Card,382.16
PAY_00245,ORD_00245,UPI,415.71
PAY_00246,ORD_00246,Credit Card,394.24
PAY_00247,ORD_00247,Credit Card,211.48
PAY_00248,ORD_00248,UPI,285.16
PAY_00249,ORD_00249,Debit Card,410.03
PAY_00250,ORD_00250,UPI,149.8
PAY_00251,ORD_00251,Debit Card,181.32
PAY_00252,ORD_00252,UPI,200.47
PAY_00253,ORD_00253,UPI,342.53
PAY_00254,ORD_00254,Debit Card,358.2
PAY_00255,ORD_00255,Debit Card,166.59
PAY_00256,ORD_00256,UPI,117.76
PAY_00257,ORD_00257,Credit Card,235.43
PAY_00258,ORD_00258,UPI,126.9
PAY_00259,ORD_00259,Debit Card,124.16
PAY_00260,ORD_00260,Cash,131.05
PAY_00261,ORD_00261,UPI,256.21
PAY_00262,ORD_00262,UPI,419.58
PAY_00263,ORD_00263,Debit Card,192.64
PAY_00264,ORD_00264,Credit Card,223.74
PAY_00265,ORD_00265,UPI,385.61
PAY_00266,ORD_00266,UPI,123.59
PAY_00267,ORD_00267,Credit Card,271.46
PAY_00268,ORD_00268,Credit Card,203.22
PAY_00269,ORD_00269,UPI,285.87
PAY_00270,ORD_00270,UPI,148.32
PAY_00271,ORD_00271,UPI,135.3
PAY_00272,ORD_00272,UPI,214.73
PAY_00273,ORD_00273,UPI,526.62
PAY_00274,ORD_00274,UPI,338.39
PAY_00275,ORD_00275,UPI,165.23
PAY_00276,ORD_00276,Cash,120.06
PAY_00277,ORD_00277,UPI,121.75
PAY_00278,ORD_00278,Debit Card,400.24
PAY_00279,ORD_00279,Credit Card,127.78
PAY_00280,ORD_00280,Credit Card,180.85
PAY_00281,ORD_00281,Cash,396.55
PAY_00282,ORD_00282,UPI,120.04
PAY_00283,ORD_00283,Debit Card,462.67
PAY_00284,ORD_00284,Credit Card,183.51
PAY_00285,ORD_00285,Cash,114.18
PAY_00286,ORD_00286,UPI,183.85
PAY_00287,ORD_00287,UPI,151.81
PAY_00288,ORD_00288,Cash,263.08
PAY_00289,ORD_00289,UPI,153.51
PAY_00290,ORD_00290,Cash,120.41
PAY_00291,ORD_00291,Debit Card,195.09
PAY_00292,ORD_00292,UPI,112.65
PAY_00293,ORD_00293,UPI,222.63
PAY_00294,ORD_00294,UPI,116.63
PAY_00295,ORD_00295,UPI,156.88
PAY_00296,ORD_00296,UPI,236.12
PAY_00297,ORD_00297,Cash,180.35
PAY_00298,ORD_00298,Credit Card,229.78
PAY_00299,ORD_00299,UPI,316.52
PAY_00300,ORD_00300,UPI,123.97
PAY_00301,ORD_00301,Credit Card,201.46
PAY_00302,ORD_00302,UPI,124.36
PAY_00303,ORD_00303,Debit Card,241.03
PAY_00304,ORD_00304,Credit Card,178.87
PAY_00305,ORD_00305,Debit Card,122.39
PAY_00306,ORD_00306,Debit Card,244.1
PAY_00307,ORD_00307,UPI,405.11
PAY_00308,ORD_00308,UPI,162.45
PAY_00309,ORD_00309,UPI,127.01
PAY_00310,ORD_00310,UPI,232.81
PAY_00311,ORD_00311,UPI,119.83
PAY_00312,ORD_00312,UPI,141.1
PAY_00313,ORD_00313,UPI,411.19
PAY_00314,ORD_00314,UPI,199.8
PAY_00315,ORD_00315,UPI,120.43
PAY_00316,ORD_00316,Credit Card,108.38
PAY_00317,ORD_00317,Cash,221.73
PAY_00318,ORD_00318,Credit Card,313.98
PAY_00319,ORD_00319,Credit Card,114.2
PAY_00320,ORD_00320,Debit Card,245.94
PAY_00321,ORD_00321,UPI,414.37
PAY_00322,ORD_00322,UPI,575.55
PAY_00323,ORD_00323,Cash,240.23
PAY_00324,ORD_00324,Debit Card,260.12
PAY_00325,ORD_00325,UPI,133.25
PAY_00326,ORD_00326,UPI,659.88
PAY_00327,ORD_00327,UPI,157.08
PAY_00328,ORD_00328,Cash,126.99
PAY_00329,ORD_00329,Credit Card,170.82
PAY_00330,ORD_00330,UPI,433.03
PAY_00331,ORD_00331,Credit Card,645.05
PAY_00332,ORD_00332,UPI,226.04
PAY_00333,ORD_00333,UPI,356.28
PAY_00334,ORD_00334,UPI,222.58
PAY_00335,ORD_00335,UPI,118.89
PAY_00336,ORD_00336,Credit Card,473.0
PAY_00337,ORD_00337,Debit Card,145.58
PAY_00338,ORD_00338,Credit Card,482.13
PAY_00339,ORD_00339,Credit Card,415.77
PAY_00340,ORD_00340,Debit Card,275.1
PAY_00341,ORD_00341,UPI,559.75
PAY_00342,ORD_00342,UPI,676.96
PAY_00343,ORD_00343,UPI,196.76
PAY_00344,ORD_00344,UPI,128.03
PAY_00345,ORD_00345,UPI,122.8
PAY_00346,ORD_00346,Cash,667.83
PAY_00347,ORD_00347,UPI,152.68
PAY_00348,ORD_00348,UPI,394.72
PAY_00349,ORD_00349,UPI,138.08
PAY_00350,ORD_00350,UPI,461.21
PAY_00351,ORD_00351,UPI,147.09
PAY_00352,ORD_00352,UPI,120.45
PAY_00353,ORD_00353,Cash,183.64
PAY_00354,ORD_00354,UPI,151.81
PAY_00355,ORD_00355,UPI,292.6
PAY_00356,ORD_00356,Debit Card,194.87
PAY_00357,ORD_00357,UPI,291.25
PAY_00358,ORD_00358,UPI,167.11
PAY_00359,ORD_00359,UPI,150.33
PAY_00360,ORD_00360,Debit Card,167.53
PAY_00361,ORD_00361,Debit Card,652.13
PAY_00362,ORD_00362,UPI,238.39
PAY_00363,ORD_00363,Cash,115.13
PAY_00364,ORD_00364,Credit Card,158.6
PAY_00365,ORD_00365,Debit Card,221.6
PAY_00366,ORD_00366,Debit Card,571.51
PAY_00367,ORD_00367,Credit Card,358.94
PAY_00368,ORD_00368,Debit Card,137.55
PAY_00369,ORD_00369,UPI,714.1
PAY_00370,ORD_00370,UPI,192.96
PAY_00371,ORD_00371,UPI,385.34
PAY_00372,ORD_00372,UPI,120.06
PAY_00373,ORD_00373,Cash,119.5
PAY_00374,ORD_00374,Cash,103.38
PAY_00375,ORD_00375,UPI,124.61
PAY_00376,ORD_00376,UPI,617.96
PAY_00377,ORD_00377,Credit Card,227.01
PAY_00378,ORD_00378,UPI,129.63
PAY_00379,ORD_00379,Debit Card,280.23
PAY_00380,ORD_00380,Credit Card,235.35
PAY_00381,ORD_00381,Credit Card,275.82
PAY_00382,ORD_00382,Credit Card,383.81
PAY_00383,ORD_00383,UPI,189.15
PAY_00384,ORD_00384,UPI,135.53
PAY_00385,ORD_00385,UPI,322.16
PAY_00386,ORD_00386,Debit Card,316.1
PAY_00387,ORD_00387,UPI,218.67
PAY_00388,ORD_00388,Cash,700.96
PAY_00389,ORD_00389,UPI,173.15
PAY_00390,ORD_00390,Credit Card,121.13
PAY_00391,ORD_00391,UPI,257.93
PAY_00392,ORD_00392,Cash,139.28
PAY_00393,ORD_00393,UPI,268.59
PAY_00394,ORD_00394,Credit Card,135.97
PAY_00395,ORD_00395,Cash,177.5
PAY_00396,ORD_00396,UPI,539.01
PAY_00397,ORD_00397,Credit Card,174.46
PAY_00398,ORD_00398,Credit Card,134.26
PAY_00399,ORD_00399,UPI,359.78
PAY_00400,ORD_00400,Credit Card,112.86
PAY_00401,ORD_00401,Credit Card,136.34
PAY_00402,ORD_00402,UPI,286.1
PAY_00403,ORD_00403,Debit Card,325.33
PAY_00404,ORD_00404,UPI,374.27
PAY_00405,ORD_00405,UPI,131.52
PAY_00406,ORD_00406,Cash,286.53
PAY_00407,ORD_00407,Credit Card,171.26
PAY_00408,ORD_00408,Debit Card,145.84
PAY_00409,ORD_00409,Debit Card,408.03
PAY_00410,ORD_00410,Credit Card,163.09
PAY_00411,ORD_00411,Debit Card,230.12
PAY_00412,ORD_00412,UPI,222.87
PAY_00413,ORD_00413,UPI,115.97
PAY_00414,ORD_00414,Credit Card,349.52
PAY_00415,ORD_00415,Cash,270.97
PAY_00416,ORD_00416,UPI,115.8
PAY_00417,ORD_00417,Debit Card,231.49
PAY_00418,ORD_00418,UPI,149.0
PAY_00419,ORD_00419,UPI,374.16
PAY_00420,ORD_00420,Credit Card,127.47
PAY_00421,ORD_00421,UPI,156.23
PAY_00422,ORD_00422,UPI,260.17
PAY_00423,ORD_00423,UPI,222.5
PAY_00424,ORD_00424,Cash,328.91
PAY_00425,ORD_00425,Credit Card,110.06
PAY_00426,ORD_00426,UPI,477.65
PAY_00427,ORD_00427,UPI,288.6
PAY_00428,ORD_00428,UPI,444.53
PAY_00429,ORD_00429,Credit Card,326.22
PAY_00430,ORD_00430,Debit Card,206.57
PAY_00431,ORD_00431,Cash,112.6
PAY_00432,ORD_00432,Debit Card,148.74
PAY_00433,ORD_00433,Credit Card,463.02
PAY_00434,ORD_00434,Credit Card,401.11
PAY_00435,ORD_00435,Credit Card,151.42
PAY_00436,ORD_00436,UPI,112.7
PAY_00437,ORD_00437,Debit Card,198.45
PAY_00438,ORD_00438,UPI,173.72
PAY_00439,ORD_00439,UPI,181.95
PAY_00440,ORD_00440,Cash,288.77
PAY_00441,ORD_00441,Credit Card,333.86
PAY_00442,ORD_00442,UPI,340.2
PAY_00443,ORD_00443,Debit Card,251.83
PAY_00444,ORD_00444,Debit Card,119.95
PAY_00445,ORD_00445,UPI,177.99
PAY_00446,ORD_00446,Credit Card,724.27
PAY_00447,ORD_00447,UPI,242.98
PAY_00448,ORD_00448,UPI,242.8
PAY_00449,ORD_00449,Cash,254.68
PAY_00450,ORD_00450,Debit Card,258.81
PAY_00451,ORD_00451,Cash,122.39
PAY_00452,ORD_00452,Debit Card,200.6
PAY_00453,ORD_00453,UPI,198.86
PAY_00454,ORD_00454,Debit Card,405.76
PAY_00455,ORD_00455,Debit Card,214.84
PAY_00456,ORD_00456,UPI,119.58
PAY_00457,ORD_00457,Credit Card,267.22
PAY_00458,ORD_00458,UPI,134.98
PAY_00459,ORD_00459,UPI,116.23
PAY_00460,ORD_00460,UPI,140.87
PAY_00461,ORD_00461,Credit Card,265.51
PAY_00462,ORD_00462,UPI,409.97
PAY_00463,ORD_00463,UPI,276.49
PAY_00464,ORD_00464,Debit Card,307.05
PAY_00465,ORD_00465,Debit Card,248.98
PAY_00466,ORD_00466,UPI,221.19
PAY_00467,ORD_00467,Cash,310.97
PAY_00468,ORD_00468,Debit Card,126.65
PAY_00469,ORD_00469,Debit Card,228.29
PAY_00470,ORD_00470,UPI,116.2
PAY_00471,ORD_00471,Cash,361.85
PAY_00472,ORD_00472,Cash,194.04
PAY_00473,ORD_00473,Credit Card,214.68
PAY_00474,ORD_00474,Cash,110.14
PAY_00475,ORD_00475,Credit Card,374.73
PAY_00476,ORD_00476,UPI,279.07
PAY_00477,ORD_00477,Debit Card,260.12
PAY_00478,ORD_00478,Credit Card,132.71
PAY_00479,ORD_00479,UPI,135.29
PAY_00480,ORD_00480,UPI,241.23
PAY_00481,ORD_00481,Credit Card,142.56
PAY_00482,ORD_00482,Credit Card,256.86
PAY_00483,ORD_00483,Debit Card,107.89
PAY_00484,ORD_00484,Credit Card,157.45
PAY_00485,ORD_00485,UPI,569.47
PAY_00486,ORD_00486,Credit Card,254.01
PAY_00487,ORD_00487,UPI,229.4
PAY_00488,ORD_00488,Credit Card,585.34
PAY_00489,ORD_00489,Credit Card,119.85
PAY_00490,ORD_00490,Cash,143.63
PAY_00491,ORD_00491,Credit Card,154.57
PAY_00492,ORD_00492,Credit Card,323.49
PAY_00493,ORD_00493,Debit Card,337.28
PAY_00494,ORD_00494,Cash,129.32
PAY_00495,ORD_00495,UPI,355.05
PAY_00496,ORD_00496,UPI,159.48
PAY_00497,ORD_00497,Cash,407.3
PAY_00498,ORD_00498,Cash,106.97
PAY_00499,ORD_00499,UPI,196.93
PAY_00500,ORD_00500,UPI,159.06
PAY_00501,ORD_00501,UPI,376.82
PAY_00502,ORD_00502,Debit Card,148.12
PAY_00503,ORD_00503,Debit Card,198.08
PAY_00504,ORD_00504,UPI,283.37
PAY_00505,ORD_00505,Credit Card,288.73
PAY_00506,ORD_00506,Debit Card,327.52
PAY_00507,ORD_00507,Debit Card,237.91
PAY_00508,ORD_00508,UPI,168.35
PAY_00509,ORD_00509,Debit Card,181.14
PAY_00510,ORD_00510,UPI,222.25
PAY_00511,ORD_00511,Credit Card,249.75
PAY_00512,ORD_00512,UPI,189.77
PAY_00513,ORD_00513,UPI,205.54
PAY_00514,ORD_00514,UPI,114.56
PAY_00515,ORD_00515,UPI,299.09
PAY_00516,ORD_00516,Cash,219.16
PAY_00517,ORD_00517,UPI,352.32
PAY_00518,ORD_00518,Cash,188.05
PAY_00519,ORD_00519,UPI,116.45
PAY_00520,ORD_00520,Cash,184.31
PAY_00521,ORD_00521,Cash,179.38
PAY_00522,ORD_00522,UPI,292.98
PAY_00523,ORD_00523,Debit Card,123.45
PAY_00524,ORD_00524,Credit Card,230.8
PAY_00525,ORD_00525,Credit Card,268.05
PAY_00526,ORD_00526,Debit Card,149.79
PAY_00527,ORD_00527,UPI,222.44
PAY_00528,ORD_00528,Debit Card,147.26
PAY_00529,ORD_00529,UPI,152.37
PAY_00530,ORD_00530,Debit Card,165.85
PAY_00531,ORD_00531,Credit Card,146.86
PAY_00532,ORD_00532,Credit Card,295.67
PAY_00533,ORD_00533,Credit Card,144.76
PAY_00534,ORD_00534,Debit Card,127.59
PAY_00535,ORD_00535,Debit Card,537.86
PAY_00536,ORD_00536,UPI,336.56
PAY_00537,ORD_00537,UPI,117.99
PAY_00538,ORD_00538,UPI,141.77
PAY_00539,ORD_00539,Debit Card,216.92
PAY_00540,ORD_00540,Cash,237.08
PAY_00541,ORD_00541,UPI,119.23
PAY_00542,ORD_00542,UPI,366.81
PAY_00543,ORD_00543,Debit Card,329.72
PAY_00544,ORD_00544,Credit Card,251.73
PAY_00545,ORD_00545,Debit Card,425.4
PAY_00546,ORD_00546,UPI,260.98
PAY_00547,ORD_00547,Cash,250.19
PAY_00548,ORD_00548,UPI,481.12
PAY_00549,ORD_00549,UPI,380.28
PAY_00550,ORD_00550,UPI,131.29
PAY_00551,ORD_00551,Cash,282.51
PAY_00552,ORD_00552,UPI,146.92
PAY_00553,ORD_00553,UPI,286.32
PAY_00554,ORD_00554,Debit Card,270.07
PAY_00555,ORD_00555,Credit Card,115.94
PAY_00556,ORD_00556,Debit Card,196.65
PAY_00557,ORD_00557,Credit Card,248.07
PAY_00558,ORD_00558,UPI,173.06
PAY_00559,ORD_00559,UPI,242.37
PAY_00560,ORD_00560,UPI,300.19
PAY_00561,ORD_00561,UPI,207.12
PAY_00562,ORD_00562,UPI,219.68
PAY_00563,ORD_00563,Cash,423.4
PAY_00564,ORD_00564,UPI,257.34
PAY_00565,ORD_00565,UPI,217.97
PAY_00566,ORD_00566,Cash,113.64
PAY_00567,ORD_00567,Credit Card,289.58
PAY_00568,ORD_00568,Credit Card,250.12
PAY_00569,ORD_00569,Cash,382.54
PAY_00570,ORD_00570,Debit Card,213.68
PAY_00571,ORD_00571,Debit Card,126.81
PAY_00572,ORD_00572,Debit Card,118.98
PAY_00573,ORD_00573,Credit Card,326.74
PAY_00574,ORD_00574,Credit Card,154.23
PAY_00575,ORD_00575,Credit Card,261.95
PAY_00576,ORD_00576,UPI,206.8
PAY_00577,ORD_00577,UPI,166.47
PAY_00578,ORD_00578,UPI,206.07
PAY_00579,ORD_00579,UPI,133.15
PAY_00580,ORD_00580,Credit Card,206.99
PAY_00581,ORD_00581,Credit Card,155.63
PAY_00582,ORD_00582,Credit Card,157.76
PAY_00583,ORD_00583,Debit Card,179.44
PAY_00584,ORD_00584,Credit Card,181.63
PAY_00585,ORD_00585,UPI,332.86
PAY_00586,ORD_00586,UPI,186.27
PAY_00587,ORD_00587,UPI,347.11
PAY_00588,ORD_00588,Cash,489.9
PAY_00589,ORD_00589,Credit Card,318.43
PAY_00590,ORD_00590,Debit Card,287.09
PAY_00591,ORD_00591,UPI,232.33
PAY_00592,ORD_00592,Debit Card,331.94
PAY_00593,ORD_00593,Debit Card,208.8
PAY_00594,ORD_00594,Debit Card,333.82
PAY_00595,ORD_00595,Credit Card,275.82
PAY_00596,ORD_00596,Debit Card,153.09
PAY_00597,ORD_00597,Cash,319.33
PAY_00598,ORD_00598,Cash,218.27
PAY_00599,ORD_00599,UPI,189.21
PAY_00600,ORD_00600,Credit Card,157.92
PAY_00601,ORD_00601,UPI,239.74
PAY_00602,ORD_00602,Cash,334.35
PAY_00603,ORD_00603,Cash,340.04
PAY_00604,ORD_00604,UPI,249.45
PAY_00605,ORD_00605,Cash,274.62
PAY_00606,ORD_00606,Debit Card,389.43
PAY_00607,ORD_00607,Credit Card,182.46
PAY_00608,ORD_00608,Credit Card,115.25
PAY_00609,ORD_00609,UPI,412.48
PAY_00610,ORD_00610,Cash,157.81
PAY_00611,ORD_00611,UPI,150.19
