driver_id,age,vehicle_type,rating,experience_years
DRV_0056,46,Bike,4.0,6
DRV_0057,51,Scooter,4.2,6
DRV_0058,33,Scooter,4.9,6
DRV_0059,37,Car,4.1,7
DRV_0060,47,Scooter,4.1,3
DRV_0061,48,Car,4.5,6
DRV_0062,35,Scooter,4.2,3
DRV_0063,54,Bike,3.8,7
DRV_0064,50,Scooter,4.3,7
DRV_0065,23,Car,4.3,8
DRV_0066,36,Car,4.7,2
DRV_0067,45,Bike,3.9,9
DRV_0068,23,Scooter,4.7,5
DRV_0069,49,Bike,4.3,9
DRV_0070,49,Bike,3.9,5
DRV_0071,41,Bike,3.8,7
DRV_0072,30,Bike,5.0,9
DRV_0073,21,Scooter,4.2,4
DRV_0074,31,Bike,4.7,2
DRV_0075,49,Scooter,3.6,9
DRV_0076,37,Bike,5.0,2
DRV_0077,45,Bike,4.7,3
DRV_0078,26,Bike,4.2,2
DRV_0079,20,Bike,4.2,3
DRV_0080,45,Bike,4.6,6
DRV_0081,42,Bike,4.6,3
DRV_0082,45,Scooter,4.4,8
DRV_0083,25,Bike,4.3,6
DRV_0084,25,Bike,4.5,7
DRV_0085,27,Bike,3.6,1
DRV_0086,43,Car,4.2,3
DRV_0087,41,Car,3.6,3
DRV_0088,38,Scooter,4.5,2
DRV_0089,37,Bike,4.0,7
DRV_0090,50,Bike,3.7,9
DRV_0091,49,Car,4.0,4
DRV_0092,52,Bike,4.4,5
DRV_0093,29,Bike,4.2,3
DRV_0094,31,Bike,3.8,9
DRV_0095,49,Bike,3.6,4
DRV_0096,46,Bike,4.3,5
DRV_0097,28,Scooter,4.1,1
DRV_0098,40,Bike,4.2,2
DRV_0099,31,Scooter,4.2,9
DRV_0100,48,Bike,4.5,2
DRV_0101,52,Bike,4.6,5
DRV_0102,34,Car,4.4,8
DRV_0103,21,Bike,4.2,3
DRV_0104,37,Scooter,4.3,6
DRV_0105,22,Scooter,4.2,4
DRV_0106,26,Bike,3.6,7
DRV_0107,37,Car,4.7,3
DRV_0108,52,Bike,4.7,6
DRV_0109,50,Car,5.0,9
DRV_0110,30,Bike,5.0,1
DRV_0111,23,Car,3.8,3
DRV_0112,37,Bike,4.2,2
DRV_0113,23,Scooter,5.0,8
DRV_0114,53,Scooter,4.3,7
DRV_0115,48,Car,4.4,2
DRV_0116,43,Car,3.7,6
DRV_0117,41,Scooter,4.4,3
DRV_0118,21,Car,5.0,8
DRV_0119,25,Bike,4.8,3
DRV_0120,44,Bike,4.1,9
DRV_0121,40,Bike,4.1,1
DRV_0122,35,Bike,3.8,5
DRV_0123,50,Bike,4.0,3
DRV_0124,33,Scooter,3.5,6
DRV_0125,47,Bike,4.3,2
DRV_0126,51,Scooter,4.9,9
DRV_0127,47,Bike,4.4,6
DRV_0128,28,Bike,4.8,7
DRV_0129,41,Scooter,4.7,5
DRV_0130,51,Scooter,4.1,9
DRV_0131,24,Scooter,4.0,1
DRV_0132,42,Scooter,4.0,5
DRV_0133,24,Bike,3.6,6
DRV_0134,51,Scooter,4.3,7
DRV_0135,29,Bike,3.1,4
DRV_0136,34,Bike,4.5,1
DRV_0137,26,Bike,4.3,8
DRV_0138,48,Bike,4.5,4
DRV_0139,22,Bike,4.7,3
DRV_0140,38,Car,4.4,7
DRV_0141,29,Car,5.0,2
DRV_0142,47,Bike,4.5,8
DRV_0143,48,Bike,4.0,6
DRV_0144,34,Bike,4.2,7
DRV_0145,54,Bike,3.4,5
DRV_0146,25,Car,3.9,9
DRV_0147,31,Bike,4.1,5
DRV_0148,32,Scooter,4.5,5
DRV_0149,48,Bike,4.0,3
DRV_0150,38,Car,3.8,1
DRV_0151,22,Bike,3.5,2
DRV_0152,27,Scooter,4.1,8
DRV_0153,27,Bike,5.0,1
DRV_0154,39,Scooter,4.4,7
DRV_0155,23,Bike,4.7,5
DRV_0156,40,Bike,3.9,3
DRV_0157,22,Car,3.7,7
DRV_0158,27,Car,3.8,9
DRV_0159,42,Car,4.3,2
DRV_0160,35,Scooter,3.5,8
DRV_0161,32,Scooter,3.9,9
DRV_0162,22,Bike,4.1,3
DRV_0163,28,Bike,3.8,2
DRV_0164,33,Bike,3.5,7
DRV_0165,32,Scooter,4.4,5
DRV_0166,26,Bike,4.3,5
DRV_0167,34,Bike,4.6,5
DRV_0168,26,Scooter,3.9,4
DRV_0169,53,Scooter,4.6,5
DRV_0170,41,Bike,4.9,4
DRV_0171,43,Bike,4.4,6
DRV_0172,20,Bike,4.1,4
DRV_0173,29,Bike,4.4,2
DRV_0174,35,Bike,4.0,9
DRV_0175,27,Scooter,4.0,2
DRV_0176,44,Scooter,4.6,9
DRV_0177,31,Scooter,4.2,6
DRV_0178,44,Bike,4.8,9
DRV_0179,36,Scooter,4.1,9
DRV_0180,45,Bike,4.2,3
DRV_0181,33,Scooter,4.1,1
DRV_0182,42,Scooter,3.9,1
DRV_0183,25,Bike,4.6,3
DRV_0184,24,Bike,5.0,5
DRV_0185,44,Car,4.1,3
DRV_0186,37,Bike,4.0,9
DRV_0187,32,Scooter,4.0,9
DRV_0188,33,Bike,4.0,3
DRV_0189,47,Scooter,5.0,3
DRV_0190,37,Bike,4.0,5
DRV_0191,47,Bike,4.1,2
DRV_0192,46,Scooter,3.8,6
DRV_0193,51,Bike,4.4,7
DRV_0194,28,Bike,4.3,9
DRV_0195,51,Bike,3.8,6
DRV_0196,39,Bike,3.9,3
DRV_0197,47,Bike,4.9,5
DRV_0198,52,Bike,4.3,4
DRV_0199,23,Car,4.3,5
DRV_0200,53,Bike,4.3,8
DRV_0201,22,Scooter,4.9,8
DRV_0202,45,Bike,3.9,6
DRV_0203,27,Bike,4.1,1
DRV_0204,25,Car,4.2,8
DRV_0205,35,Bike,3.6,8
DRV_0206,43,Car,3.9,2
DRV_0207,49,Bike,4.7,4
DRV_0208,32,Scooter,4.6,2
DRV_0209,24,Scooter,4.7,4
DRV_0210,44,Car,4.1,7
DRV_0211,39,Scooter,4.1,9
DRV_0212,37,Scooter,3.6,8
DRV_0213,37,Bike,4.7,9
DRV_0214,21,Bike,4.7,8
DRV_0215,29,Car,4.7,2
DRV_0216,31,Bike,4.9,7
DRV_0217,32,Bike,4.5,2
DRV_0218,30,Scooter,4.9,2
DRV_0219,38,Bike,4.2,4
DRV_0220,54,Car,3.6,1
DRV_0221,45,Scooter,4.6,5
DRV_0222,33,Scooter,3.6,6
DRV_0223,43,Car,4.4,9
DRV_0224,20,Bike,4.7,8
DRV_0225,41,Bike,4.4,2
DRV_0226,42,Scooter,5.0,1
DRV_0227,38,Bike,3.5,2
DRV_0228,37,Scooter,4.3,7
DRV_0229,31,Car,4.3,4
DRV_0230,47,Bike,3.8,5
DRV_0231,47,Bike,3.8,7
DRV_0232,52,Car,4.0,3
DRV_0233,38,Bike,3.9,2
DRV_0234,47,Scooter,4.3,7
DRV_0235,45,Bike,4.1,5
DRV_0236,54,Car,4.4,1
DRV_0237,53,Scooter,4.6,1
DRV_0238,54,Scooter,4.5,9
DRV_0239,35,Scooter,4.1,5
DRV_0240,32,Bike,4.4,1
DRV_0241,42,Bike,4.7,7
DRV_0242,41,Scooter,4.5,9
DRV_0243,35,Bike,5.0,1
DRV_0244,47,Scooter,4.7,4
DRV_0245,54,Car,5.0,3
DRV_0246,27,Scooter,3.3,5
DRV_0247,41,Scooter,4.3,7
DRV_0248,40,Scooter,4.2,8
DRV_0249,45,Scooter,4.3,2
DRV_0250,40,Bike,4.0,7
DRV_0251,44,Bike,4.5,1
DRV_0252,20,Bike,3.6,7
DRV_0253,25,Scooter,4.5,8
DRV_0254,42,Scooter,4.0,2
DRV_0255,42,Scooter,4.1,9
DRV_0256,42,Bike,4.5,1
DRV_0257,51,Scooter,4.3,6
DRV_0258,49,Bike,4.7,1
DRV_0259,32,Scooter,3.9,3
DRV_0260,37,Scooter,4.3,6
DRV_0261,42,Bike,4.7,3
DRV_0262,34,Bike,4.4,8
DRV_0263,52,Scooter,4.5,5
DRV_0264,40,Scooter,4.7,2
DRV_0265,42,Bike,4.1,4
DRV_0266,46,Car,4.1,9
DRV_0267,37,Scooter,4.5,4
DRV_0268,43,Car,4.2,8
DRV_0269,26,Bike,4.7,5
DRV_0270,39,Scooter,4.4,1
DRV_0271,46,Car,4.1,7
DRV_0272,25,Scooter,4.4,3
DRV_0273,46,Scooter,3.9,8
DRV_0274,28,Bike,4.7,3
DRV_0275,50,Bike,3.7,1
DRV_0276,40,Bike,4.8,5
DRV_0277,45,Bike,4.4,2
DRV_0278,32,Bike,4.2,4
DRV_0279,42,Bike,4.6,1
DRV_0280,39,Car,4.5,9
DRV_0281,47,Bike,4.8,6
DRV_0282,36,Scooter,4.8,8
DRV_0283,47,Scooter,4.4,4
DRV_0284,21,Scooter,4.0,9
DRV_0285,44,Bike,4.1,2
DRV_0286,25,Scooter,4.3,9
DRV_0287,30,Scooter,4.7,5
DRV_0288,25,Scooter,4.1,6
DRV_0289,30,Scooter,4.2,3
DRV_0290,33,Car,5.0,4
DRV_0291,21,Scooter,4.3,6
DRV_0292,22,Bike,4.0,7
DRV_0293,54,Scooter,4.6,1
DRV_0294,52,Bike,4.3,7
DRV_0295,43,Car,3.7,1
DRV_0296,38,Bike,4.7,5
DRV_0297,37,Bike,4.0,6
DRV_0298,43,Scooter,4.3,2
DRV_0299,54,Scooter,4.3,9
DRV_0300,20,Bike,4.4,6
DRV_0301,44,Scooter,3.4,7
DRV_0302,53,Car,4.2,8
DRV_0303,44,Bike,4.7,1
DRV_0304,35,Car,4.8,8
DRV_0305,53,Bike,3.9,4
DRV_0306,48,Scooter,4.7,8
DRV_0307,38,Scooter,4.0,6
DRV_0308,42,Bike,4.2,9
DRV_0309,38,Bike,4.2,4
DRV_0310,44,Bike,4.3,2
DRV_0311,35,Scooter,4.7,2
DRV_0312,28,Scooter,4.4,5
DRV_0313,20,Scooter,4.2,9
DRV_0314,38,Bike,4.7,3
DRV_0315,52,Bike,4.0,8
DRV_0316,53,Bike,4.3,4
DRV_0317,35,Bike,4.7,6
DRV_0318,37,Scooter,4.5,6
DRV_0319,53,Car,4.1,3
DRV_0320,44,Scooter,3.7,5
DRV_0321,25,Bike,4.4,3
DRV_0322,40,Car,3.7,1
DRV_0323,25,Scooter,4.2,7
DRV_0324,51,Car,4.8,4
DRV_0325,50,Scooter,4.5,7
DRV_0326,29,Bike,3.5,3
DRV_0327,49,Bike,4.4,5
DRV_0328,37,Scooter,4.2,5
DRV_0329,43,Bike,3.8,2
DRV_0330,28,Bike,4.4,2
DRV_0331,50,Scooter,4.1,4
DRV_0332,34,Scooter,4.1,4
DRV_0333,23,Scooter,4.3,4
DRV_0334,28,Bike,4.0,6
DRV_0335,28,Bike,4.3,2
DRV_0336,45,Scooter,4.1,6
DRV_0337,23,Car,4.1,7
DRV_0338,36,Scooter,4.7,3
DRV_0339,35,Car,4.7,8
DRV_0340,34,Scooter,3.6,2
DRV_0341,54,Scooter,4.6,8
DRV_0342,24,Bike,4.9,5
DRV_0343,24,Scooter,4.9,2
DRV_0344,39,Scooter,4.5,7
DRV_0345,34,Scooter,3.9,2
DRV_0346,37,Scooter,4.6,6
DRV_0347,21,Scooter,4.0,3
DRV_0348,48,Bike,4.2,9
DRV_0349,32,Scooter,4.5,3
DRV_0350,23,Bike,4.0,3
DRV_0351,29,Scooter,3.8,5
DRV_0352,50,Bike,4.5,7
DRV_0353,27,Bike,5.0,8
DRV_0354,22,Bike,4.8,7
DRV_0355,28,Scooter,4.6,9
DRV_0356,49,Bike,4.7,5
DRV_0357,30,Bike,4.6,3
DRV_0358,54,Scooter,4.5,6
DRV_0359,32,Bike,4.7,5
DRV_0360,32,Car,3.8,4
DRV_0361,31,Car,4.4,2
DRV_0362,29,Scooter,4.3,7
DRV_0363,28,Bike,4.3,5
DRV_0364,26,Scooter,4.1,4
DRV_0365,21,Bike,4.5,8
DRV_0366,42,Scooter,4.0,9
DRV_0367,40,Bike,4.1,9
DRV_0368,42,Car,4.0,3
DRV_0369,48,Bike,4.6,3
DRV_0370,33,Scooter,4.3,5
DRV_0371,45,Scooter,4.1,5
DRV_0372,24,Scooter,4.2,2
DRV_0373,50,Bike,4.3,1
DRV_0374,44,Car,4.9,8
DRV_0375,50,Scooter,3.8,3
DRV_0376,39,Scooter,4.6,1
DRV_0377,36,Bike,4.5,1
DRV_0378,21,Scooter,3.9,2
DRV_0379,44,Bike,4.9,6
DRV_0380,32,Bike,4.5,6
DRV_0381,47,Bike,4.1,3
DRV_0382,25,Scooter,3.6,4
DRV_0383,22,Bike,4.4,2
DRV_0384,54,Bike,4.3,2
DRV_0385,37,Scooter,3.9,7
DRV_0386,30,Scooter,3.9,1
DRV_0387,39,Bike,4.6,7
DRV_0388,24,Scooter,3.5,1
DRV_0389,38,Bike,4.4,6
DRV_0390,41,Bike,4.2,3
DRV_0391,38,Bike,4.5,8
DRV_0392,35,Scooter,4.2,6
DRV_0393,43,Bike,4.4,2
DRV_0394,23,Bike,4.0,8
DRV_0395,34,Bike,4.3,5
DRV_0396,44,Scooter,4.5,8
DRV_0397,54,Bike,4.4,8
DRV_0398,33,Bike,4.5,6
DRV_0399,38,Bike,3.9,2
DRV_0400,26,Bike,4.1,8
DRV_0401,49,Scooter,4.1,6
DRV_0402,38,Scooter,4.2,6
DRV_0403,44,Bike,4.8,8
DRV_0404,35,Bike,4.2,1
DRV_0405,27,Bike,3.8,2
DRV_0406,37,Bike,4.5,9
DRV_0407,47,Bike,4.8,8
DRV_0408,35,Scooter,3.8,7
DRV_0409,38,Car,5.0,7
DRV_0410,36,Car,4.5,5
DRV_0411,32,Car,4.7,2
DRV_0412,26,Scooter,4.9,6
DRV_0413,46,Scooter,4.7,3
DRV_0414,29,Bike,4.3,4
DRV_0415,53,Scooter,4.8,2
DRV_0416,44,Scooter,4.4,2
DRV_0417,25,Scooter,4.7,8
DRV_0418,43,Scooter,4.8,8
DRV_0419,37,Bike,3.9,6
DRV_0420,42,Bike,4.6,5
DRV_0421,25,Car,4.2,8
DRV_0422,48,Bike,4.4,4
DRV_0423,44,Scooter,4.4,4
DRV_0424,36,Car,4.3,5
DRV_0425,43,Scooter,4.9,1
DRV_0426,30,Scooter,3.8,1
DRV_0427,45,Bike,3.6,2
DRV_0428,53,Bike,3.5,8
DRV_0429,47,Car,4.7,7
DRV_0430,22,Scooter,4.0,9
DRV_0431,30,Scooter,4.4,5
DRV_0432,33,Bike,4.3,2
DRV_0433,45,Bike,3.9,7
DRV_0434,40,Car,4.6,8
DRV_0435,49,Bike,4.2,7
DRV_0436,27,Scooter,4.2,7
DRV_0437,39,Bike,4.4,5
DRV_0438,51,Scooter,4.6,2
DRV_0439,41,Car,3.9,6
DRV_0440,26,Scooter,4.6,4
DRV_0441,28,Bike,4.9,2
DRV_0442,20,Scooter,3.7,9
DRV_0443,48,Scooter,4.4,7
DRV_0444,27,Bike,4.2,6
DRV_0445,23,Car,4.6,5
DRV_0446,54,Scooter,3.8,3
DRV_0447,22,Car,5.0,4
DRV_0448,26,Scooter,3.7,3
DRV_0449,46,Bike,4.2,8
DRV_0450,20,Bike,4.5,3
DRV_0451,46,Bike,4.0,7
DRV_0452,35,Car,4.0,7
DRV_0453,26,Scooter,4.4,7
DRV_0454,42,Scooter,4.3,7
DRV_0455,30,Bike,4.3,2
DRV_0456,52,Bike,4.6,3
DRV_0457,36,Scooter,4.1,9
DRV_0458,54,Scooter,4.4,3
DRV_0459,24,Bike,4.1,2
DRV_0460,51,Scooter,4.0,9
DRV_0461,22,Bike,4.2,9
DRV_0462,54,Bike,4.1,4
DRV_0463,33,Scooter,4.1,9
DRV_0464,50,Bike,4.8,3
DRV_0465,50,Car,4.2,7
DRV_0466,36,Bike,4.0,7
DRV_0467,43,Bike,4.3,8
DRV_0468,42,Bike,4.3,4
DRV_0469,37,Scooter,3.8,3
DRV_0470,33,Bike,4.2,3
DRV_0471,34,Scooter,4.2,5
DRV_0472,34,Bike,4.2,1
DRV_0473,25,Bike,4.6,3
DRV_0474,46,Bike,4.4,6
DRV_0475,34,Scooter,4.8,3
DRV_0476,27,Car,4.3,5
DRV_0477,34,Bike,5.0,9
DRV_0478,22,Scooter,4.1,2
DRV_0479,32,Car,4.0,2
DRV_0480,53,Bike,4.5,6
DRV_0481,43,Scooter,4.8,6
DRV_0482,51,Bike,3.7,8
DRV_0483,51,Car,4.2,2
DRV_0484,49,Scooter,4.1,9
DRV_0485,32,Car,4.4,2
DRV_0486,20,Scooter,4.3,1
DRV_0487,53,Bike,4.8,2
DRV_0488,34,Car,4.3,7
DRV_0489,33,Bike,4.8,8
DRV_0490,48,Bike,4.2,5
DRV_0491,53,Scooter,4.7,6
DRV_0492,37,Scooter,4.4,1
DRV_0493,26,Car,5.0,6
DRV_0494,48,Bike,3.7,8
DRV_0495,50,Scooter,3.8,3
DRV_0496,44,Scooter,5.0,1
DRV_0497,33,Bike,4.0,4
DRV_0498,27,Bike,4.0,1
DRV_0499,46,Bike,3.9,8
DRV_0500,21,Bike,4.8,5
