delivery_id,order_id,driver_id,delivery_distance_km,preparation_time_minutes,delivery_time_minutes,tip_amount
DEL_00030,ORD_00030,DRV_0021,1.72,25.0,46.0,14.85
DEL_00031,ORD_00031,DRV_0355,13.87,39.0,111.6,25.64
DEL_00032,ORD_00032,DRV_0439,2.58,13.0,49.5,33.97
DEL_00033,ORD_00033,DRV_0411,7.2,15.0,85.5,29.05
DEL_00034,ORD_00034,DRV_0404,1.44,9.0,24.6,23.61
DEL_00035,ORD_00035,DRV_0223,5.06,32.0,57.3,51.22
DEL_00036,ORD_00036,DRV_0400,5.96,20.0,63.8,31.59
DEL_00037,ORD_00037,DRV_0462,4.28,12.0,72.3,45.5
DEL_00038,ORD_00038,DRV_0048,7.06,19.0,66.7,30.53
DEL_00039,ORD_00039,DRV_0032,3.46,15.0,35.9,37.3
DEL_00040,ORD_00040,DRV_0489,2.67,24.0,79.5,66.47
DEL_00041,ORD_00041,DRV_0288,4.43,29.0,75.2,25.64
DEL_00042,ORD_00042,DRV_0437,1.8,8.0,47.7,12.37
DEL_00043,ORD_00043,DRV_0380,1.85,32.0,61.1,35.48
DEL_00044,ORD_00044,DRV_0437,2.59,34.0,49.7,28.7
DEL_00045,ORD_00045,DRV_0130,10.67,12.0,80.0,17.91
DEL_00046,ORD_00046,DRV_0441,4.03,17.0,55.9,27.71
DEL_00047,ORD_00047,DRV_0493,14.79,26.0,95.7,9.37
DEL_00048,ORD_00048,DRV_0278,3.81,35.0,65.7,9.9
DEL_00049,ORD_00049,DRV_0485,2.69,12.0,40.8,45.79
DEL_00050,ORD_00050,DRV_0245,11.47,34.0,104.3,22.07
DEL_00051,ORD_00051,DRV_0052,2.59,9.0,61.1,36.26
DEL_00052,ORD_00052,DRV_0209,3.72,31.0,85.0,33.79
DEL_00053,ORD_00053,DRV_0352,1.66,25.0,64.5,24.6
DEL_00054,ORD_00054,DRV_0230,9.43,24.0,76.2,11.18
DEL_00055,ORD_00055,DRV_0465,4.17,32.0,81.6,17.55
DEL_00056,ORD_00056,DRV_0186,9.16,11.0,76.3,38.45
DEL_00057,ORD_00057,DRV_0162,6.05,34.0,67.1,21.73
DEL_00058,ORD_00058,DRV_0199,4.09,18.0,54.5,22.81
DEL_00059,ORD_00059,DRV_0477,5.44,30.0,89.0,23.18
DEL_00060,ORD_00060,DRV_0401,10.07,12.0,66.0,44.59
DEL_00061,ORD_00061,DRV_0472,4.64,22.0,64.2,63.43
DEL_00062,ORD_00062,DRV_0456,3.76,34.0,81.4,46.79
DEL_00063,ORD_00063,DRV_0279,0.84,25.0,38.9,37.51
DEL_00064,ORD_00064,DRV_0033,5.88,27.0,79.4,21.35
DEL_00065,ORD_00065,DRV_0413,4.19,16.0,43.0,21.3
DEL_00066,ORD_00066,DRV_0019,11.05,23.0,83.3,26.76
DEL_00067,ORD_00067,DRV_0121,1.63,21.0,53.0,20.6
DEL_00068,ORD_00068,DRV_0069,6.0,27.0,75.7,16.48
DEL_00069,ORD_00069,DRV_0293,1.24,15.0,40.9,35.11
DEL_00070,ORD_00070,DRV_0215,3.55,36.0,61.0,21.7
DEL_00071,ORD_00071,DRV_0123,10.54,12.0,74.0,49.56
DEL_00072,ORD_00072,DRV_0410,10.41,21.0,91.4,35.86
DEL_00073,ORD_00073,DRV_0280,5.82,22.0,63.0,27.64
DEL_00074,ORD_00074,DRV_0054,5.87,14.0,57.0,19.11
DEL_00075,ORD_00075,DRV_0021,7.73,18.0,75.2,18.2
DEL_00076,ORD_00076,DRV_0097,4.2,33.0,68.0,40.02
DEL_00077,ORD_00077,DRV_0346,3.87,31.0,37.0,15.78
DEL_00078,ORD_00078,DRV_0138,1.67,17.0,50.6,33.41
DEL_00079,ORD_00079,DRV_0042,4.7,25.0,55.3,25.45
DEL_00080,ORD_00080,DRV_0413,1.8,11.0,45.5,13.16
DEL_00081,ORD_00081,DRV_0441,3.36,15.0,45.2,27.82
DEL_00082,ORD_00082,DRV_0246,8.07,33.0,82.5,31.59
DEL_00083,ORD_00083,DRV_0419,5.57,31.0,58.9,22.65
DEL_00084,ORD_00084,DRV_0028,2.48,18.0,62.6,17.37
DEL_00085,ORD_00085,DRV_0396,3.22,26.0,35.7,27.21
DEL_00086,ORD_00086,DRV_0058,4.87,37.0,84.6,18.59
DEL_00087,ORD_00087,DRV_0127,6.43,16.0,60.5,26.25
DEL_00088,ORD_00088,DRV_0428,2.25,26.0,64.1,12.13
DEL_00089,ORD_00089,DRV_0263,9.63,41.0,92.4,65.56
DEL_00090,ORD_00090,DRV_0144,4.49,13.0,43.2,24.37
DEL_00091,ORD_00091,DRV_0468,2.21,14.0,53.1,21.99
DEL_00092,ORD_00092,DRV_0093,2.64,25.0,37.3,13.2
DEL_00093,ORD_00093,DRV_0035,9.36,20.0,73.9,37.35
DEL_00094,ORD_00094,DRV_0092,6.55,38.0,77.5,63.74
DEL_00095,ORD_00095,DRV_0263,8.27,32.0,85.4,49.31
DEL_00096,ORD_00096,DRV_0470,5.68,25.0,69.0,52.82
DEL_00097,ORD_00097,DRV_0014,0.5,32.0,63.3,36.41
DEL_00098,ORD_00098,DRV_0315,2.29,25.0,35.6,79.31
DEL_00099,ORD_00099,DRV_0484,9.52,15.0,77.2,42.86
DEL_00100,ORD_00100,DRV_0318,2.07,34.0,73.3,19.05
DEL_00101,ORD_00101,DRV_0202,4.76,37.0,78.4,28.55
DEL_00102,ORD_00102,DRV_0376,1.61,23.0,33.2,19.21
DEL_00103,ORD_00103,DRV_0322,3.32,40.0,63.3,41.27
DEL_00104,ORD_00104,DRV_0278,3.51,39.0,72.5,51.42
DEL_00105,ORD_00105,DRV_0144,1.99,30.0,50.0,43.82
DEL_00106,ORD_00106,DRV_0355,2.56,31.0,53.1,25.97
DEL_00107,ORD_00107,DRV_0495,5.25,17.0,59.6,17.99
DEL_00108,ORD_00108,DRV_0488,3.08,33.0,63.3,37.62
DEL_00109,ORD_00109,DRV_0496,20.0,29.0,137.6,37.19
DEL_00110,ORD_00110,DRV_0459,6.79,17.0,67.0,33.67
DEL_00111,ORD_00111,DRV_0376,7.15,33.0,61.9,19.46
DEL_00112,ORD_00112,DRV_0491,8.37,34.0,78.3,43.44
DEL_00113,ORD_00113,DRV_0299,5.87,14.0,60.4,17.46
DEL_00114,ORD_00114,DRV_0353,2.71,17.0,57.7,23.4
DEL_00115,ORD_00115,DRV_0354,7.1,25.0,62.5,17.63
DEL_00116,ORD_00116,DRV_0372,3.67,21.0,55.5,23.61
DEL_00117,ORD_00117,DRV_0481,1.74,17.0,30.3,38.42
DEL_00118,ORD_00118,DRV_0467,6.21,25.0,90.1,30.66
DEL_00119,ORD_00119,DRV_0404,5.77,37.0,66.8,19.79
DEL_00120,ORD_00120,DRV_0394,7.19,19.0,52.1,45.13
DEL_00121,ORD_00121,DRV_0403,4.18,30.0,53.5,37.88
DEL_00122,ORD_00122,DRV_0245,7.77,26.0,110.4,15.91
DEL_00123,ORD_00123,DRV_0491,2.11,33.0,51.9,22.1
DEL_00124,ORD_00124,DRV_0012,1.24,22.0,59.0,47.22
DEL_00125,ORD_00125,DRV_0394,4.76,13.0,49.0,28.94
DEL_00126,ORD_00126,DRV_0071,3.1,27.0,70.9,45.57
DEL_00127,ORD_00127,DRV_0184,2.42,20.0,65.4,37.91
DEL_00128,ORD_00128,DRV_0104,3.8,21.0,67.2,26.4
DEL_00129,ORD_00129,DRV_0011,6.49,42.0,81.0,21.68
DEL_00130,ORD_00130,DRV_0498,0.5,24.0,40.6,59.76
DEL_00131,ORD_00131,DRV_0208,3.42,13.0,53.8,28.63
DEL_00132,ORD_00132,DRV_0225,11.28,14.0,61.7,30.43
DEL_00133,ORD_00133,DRV_0317,1.56,28.0,53.7,15.81
DEL_00134,ORD_00134,DRV_0382,2.95,22.0,39.1,19.7
DEL_00135,ORD_00135,DRV_0422,9.23,21.0,71.0,16.01
DEL_00136,ORD_00136,DRV_0273,3.99,11.0,45.2,15.53
DEL_00137,ORD_00137,DRV_0054,5.16,31.0,92.0,18.86
DEL_00138,ORD_00138,DRV_0173,3.47,28.0,68.1,36.31
DEL_00139,ORD_00139,DRV_0247,9.71,24.0,84.3,38.03
DEL_00140,ORD_00140,DRV_0153,2.81,25.0,49.7,22.69
DEL_00141,ORD_00141,DRV_0106,4.66,24.0,56.8,32.26
DEL_00142,ORD_00142,DRV_0159,7.31,39.0,86.7,12.8
DEL_00143,ORD_00143,DRV_0106,2.48,24.0,52.7,22.25
DEL_00144,ORD_00144,DRV_0193,1.46,12.0,30.2,21.94
DEL_00145,ORD_00145,DRV_0295,0.7,18.0,39.9,22.03
DEL_00146,ORD_00146,DRV_0276,6.48,25.0,72.7,55.52
DEL_00147,ORD_00147,DRV_0073,1.95,35.0,53.4,15.62
DEL_00148,ORD_00148,DRV_0043,5.78,21.0,58.5,18.35
DEL_00149,ORD_00149,DRV_0372,5.59,20.0,53.4,26.83
DEL_00150,ORD_00150,DRV_0194,1.84,28.0,51.3,52.19
DEL_00151,ORD_00151,DRV_0129,4.92,23.0,69.1,16.29
DEL_00152,ORD_00152,DRV_0311,13.73,23.0,89.4,13.11
DEL_00153,ORD_00153,DRV_0108,6.69,12.0,47.2,16.94
DEL_00154,ORD_00154,DRV_0103,20.0,27.0,134.0,31.9
DEL_00155,ORD_00155,DRV_0435,3.08,33.0,43.7,19.84
DEL_00156,ORD_00156,DRV_0133,5.1,40.0,81.3,28.12
DEL_00157,ORD_00157,DRV_0250,2.37,14.0,40.1,20.07
DEL_00158,ORD_00158,DRV_0396,11.32,37.0,99.9,33.05
DEL_00159,ORD_00159,DRV_0270,3.64,41.0,63.2,21.76
DEL_00160,ORD_00160,DRV_0444,1.8,27.0,59.2,19.59
DEL_00161,ORD_00161,DRV_0103,5.06,9.0,53.8,46.34
DEL_00162,ORD_00162,DRV_0480,2.95,26.0,57.7,34.76
DEL_00163,ORD_00163,DRV_0296,5.69,25.0,90.7,55.79
DEL_00164,ORD_00164,DRV_0238,4.09,9.0,46.8,12.74
DEL_00165,ORD_00165,DRV_0108,6.77,27.0,90.0,25.13
DEL_00166,ORD_00166,DRV_0137,0.81,21.0,50.0,30.73
DEL_00167,ORD_00167,DRV_0426,4.48,22.0,45.9,29.22
DEL_00168,ORD_00168,DRV_0298,2.33,9.0,41.1,9.5
DEL_00169,ORD_00169,DRV_0289,8.45,29.0,81.1,13.86
DEL_00170,ORD_00170,DRV_0025,10.69,27.0,73.7,49.4
DEL_00171,ORD_00171,DRV_0118,2.84,16.0,44.8,36.26
DEL_00172,ORD_00172,DRV_0230,0.5,30.0,54.0,29.45
DEL_00173,ORD_00173,DRV_0334,5.77,19.0,45.4,19.21
DEL_00174,ORD_00174,DRV_0256,2.19,27.0,60.5,15.22
DEL_00175,ORD_00175,DRV_0009,5.42,24.0,72.3,7.19
DEL_00176,ORD_00176,DRV_0119,2.28,28.0,74.4,15.25
DEL_00177,ORD_00177,DRV_0119,5.61,38.0,65.9,40.21
DEL_00178,ORD_00178,DRV_0091,1.49,34.0,57.9,53.79
DEL_00179,ORD_00179,DRV_0172,6.15,14.0,43.2,22.52
DEL_00180,ORD_00180,DRV_0211,11.95,30.0,86.9,23.1
DEL_00181,ORD_00181,DRV_0314,1.45,15.0,45.8,22.19
DEL_00182,ORD_00182,DRV_0409,5.91,33.0,76.9,29.77
DEL_00183,ORD_00183,DRV_0116,1.0,24.0,50.2,27.65
DEL_00184,ORD_00184,DRV_0288,4.13,42.0,66.4,15.96
DEL_00185,ORD_00185,DRV_0022,4.0,20.0,56.1,31.88
DEL_00186,ORD_00186,DRV_0349,3.96,27.0,62.4,10.24
DEL_00187,ORD_00187,DRV_0055,1.34,18.0,38.0,41.1
DEL_00188,ORD_00188,DRV_0476,4.26,18.0,53.1,13.41
DEL_00189,ORD_00189,DRV_0445,4.18,21.0,72.9,24.31
DEL_00190,ORD_00190,DRV_0108,0.69,33.0,61.7,12.17
DEL_00191,ORD_00191,DRV_0441,0.92,21.0,44.7,37.29
DEL_00192,ORD_00192,DRV_0077,4.89,15.0,59.8,22.32
DEL_00193,ORD_00193,DRV_0061,8.05,32.0,77.5,18.87
DEL_00194,ORD_00194,DRV_0122,4.73,24.0,71.9,40.56
DEL_00195,ORD_00195,DRV_0092,5.13,21.0,82.9,17.32
DEL_00196,ORD_00196,DRV_0323,2.58,27.0,82.7,17.84
DEL_00197,ORD_00197,DRV_0222,3.94,24.0,67.3,19.54
DEL_00198,ORD_00198,DRV_0459,1.41,23.0,33.1,13.17
DEL_00199,ORD_00199,DRV_0130,5.99,26.0,77.2,26.37
DEL_00200,ORD_00200,DRV_0498,2.16,24.0,53.6,25.28
DEL_00201,ORD_00201,DRV_0370,1.51,23.0,56.4,31.75
DEL_00202,ORD_00202,DRV_0441,4.27,31.0,69.8,12.61
DEL_00203,ORD_00203,DRV_0248,8.46,30.0,82.0,16.45
DEL_00204,ORD_00204,DRV_0121,4.74,41.0,85.7,20.83
DEL_00205,ORD_00205,DRV_0201,8.43,20.0,61.4,32.88
DEL_00206,ORD_00206,DRV_0161,3.06,20.0,66.6,15.8
DEL_00207,ORD_00207,DRV_0250,5.08,29.0,55.5,16.05
DEL_00208,ORD_00208,DRV_0218,3.62,25.0,50.2,42.65
DEL_00209,ORD_00209,DRV_0063,6.45,41.0,68.4,12.01
DEL_00210,ORD_00210,DRV_0400,5.56,41.0,84.8,30.13
DEL_00211,ORD_00211,DRV_0217,2.4,25.0,62.5,35.43
DEL_00212,ORD_00212,DRV_0385,12.31,31.0,98.4,25.54
DEL_00213,ORD_00213,DRV_0341,1.59,9.0,20.6,11.0
DEL_00214,ORD_00214,DRV_0064,4.62,13.0,49.0,10.92
DEL_00215,ORD_00215,DRV_0212,2.18,29.0,67.5,21.26
DEL_00216,ORD_00216,DRV_0120,4.18,18.0,62.5,9.84
DEL_00217,ORD_00217,DRV_0069,2.06,30.0,54.1,24.08
DEL_00218,ORD_00218,DRV_0124,4.16,36.0,57.8,55.42
DEL_00219,ORD_00219,DRV_0377,4.94,13.0,55.5,22.45
DEL_00220,ORD_00220,DRV_0145,6.4,24.0,78.9,23.2
DEL_00221,ORD_00221,DRV_0296,1.04,31.0,47.5,33.96
DEL_00222,ORD_00222,DRV_0358,2.98,30.0,70.9,17.1
DEL_00223,ORD_00223,DRV_0129,7.02,18.0,71.8,33.79
DEL_00224,ORD_00224,DRV_0013,5.37,26.0,64.2,32.28
DEL_00225,ORD_00225,DRV_0274,16.13,17.0,97.1,20.0
DEL_00226,ORD_00226,DRV_0068,2.91,30.0,64.1,33.57
DEL_00227,ORD_00227,DRV_0367,0.5,11.0,25.3,30.95
DEL_00228,ORD_00228,DRV_0270,12.51,13.0,87.5,14.34
DEL_00229,ORD_00229,DRV_0496,6.82,10.0,75.3,2.12
DEL_00230,ORD_00230,DRV_0133,9.29,12.0,59.1,4.27
DEL_00231,ORD_00231,DRV_0062,2.35,24.0,56.1,17.92
DEL_00232,ORD_00232,DRV_0161,5.43,26.0,62.9,18.18
DEL_00233,ORD_00233,DRV_0026,4.86,18.0,58.9,17.34
DEL_00234,ORD_00234,DRV_0247,3.1,14.0,58.1,28.94
DEL_00235,ORD_00235,DRV_0189,8.39,17.0,77.3,32.19
DEL_00236,ORD_00236,DRV_0452,4.07,13.0,58.1,30.97
DEL_00237,ORD_00237,DRV_0286,6.71,14.0,57.9,47.32
DEL_00238,ORD_00238,DRV_0446,1.49,23.0,48.3,33.38
DEL_00239,ORD_00239,DRV_0318,4.96,17.0,60.0,33.69
DEL_00240,ORD_00240,DRV_0337,7.27,26.0,77.3,48.21
DEL_00241,ORD_00241,DRV_0220,2.73,15.0,73.7,7.78
DEL_00242,ORD_00242,DRV_0326,3.9,33.0,61.8,39.04
DEL_00243,ORD_00243,DRV_0441,4.15,16.0,56.7,28.99
DEL_00244,ORD_00244,DRV_0249,4.15,25.0,43.1,33.92
DEL_00245,ORD_00245,DRV_0091,2.0,16.0,62.9,60.41
DEL_00246,ORD_00246,DRV_0036,7.37,31.0,67.0,16.49
DEL_00247,ORD_00247,DRV_0007,3.37,33.0,70.7,26.04
DEL_00248,ORD_00248,DRV_0321,6.29,18.0,69.0,39.18
DEL_00249,ORD_00249,DRV_0202,4.61,18.0,30.6,30.49
DEL_00250,ORD_00250,DRV_0333,2.2,10.0,40.3,21.17
DEL_00251,ORD_00251,DRV_0041,5.3,22.0,64.1,29.17
DEL_00252,ORD_00252,DRV_0032,2.67,39.0,57.1,17.59
DEL_00253,ORD_00253,DRV_0142,3.3,36.0,53.4,45.22
DEL_00254,ORD_00254,DRV_0256,1.11,33.0,33.4,58.33
DEL_00255,ORD_00255,DRV_0161,7.27,11.0,52.0,6.93
DEL_00256,ORD_00256,DRV_0030,1.42,29.0,47.2,17.76
DEL_00257,ORD_00257,DRV_0457,7.35,32.0,85.2,27.87
DEL_00258,ORD_00258,DRV_0262,4.02,15.0,56.1,17.51
DEL_00259,ORD_00259,DRV_0010,4.68,28.0,65.1,24.16
DEL_00260,ORD_00260,DRV_0203,3.04,15.0,53.8,31.05
DEL_00261,ORD_00261,DRV_0359,1.49,13.0,44.2,39.29
DEL_00262,ORD_00262,DRV_0276,8.82,17.0,70.5,36.37
DEL_00263,ORD_00263,DRV_0345,2.36,15.0,54.8,7.45
DEL_00264,ORD_00264,DRV_0124,10.29,24.0,85.5,20.12
DEL_00265,ORD_00265,DRV_0118,12.01,17.0,76.9,38.17
DEL_00266,ORD_00266,DRV_0268,6.09,33.0,55.5,23.59
DEL_00267,ORD_00267,DRV_0278,3.77,25.0,58.1,30.15
DEL_00268,ORD_00268,DRV_0076,1.58,14.0,28.8,23.1
DEL_00269,ORD_00269,DRV_0014,6.76,20.0,56.4,38.39
DEL_00270,ORD_00270,DRV_0106,8.9,25.0,75.9,9.37
DEL_00271,ORD_00271,DRV_0176,4.35,39.0,84.0,19.7
DEL_00272,ORD_00272,DRV_0182,4.26,27.0,51.6,18.89
DEL_00273,ORD_00273,DRV_0036,5.68,19.0,55.9,77.61
DEL_00274,ORD_00274,DRV_0445,2.58,23.0,62.8,47.34
DEL_00275,ORD_00275,DRV_0055,1.1,21.0,42.1,28.12
DEL_00276,ORD_00276,DRV_0270,5.11,21.0,63.8,20.06
DEL_00277,ORD_00277,DRV_0002,1.29,8.0,42.5,21.75
DEL_00278,ORD_00278,DRV_0256,3.9,26.0,73.7,26.39
DEL_00279,ORD_00279,DRV_0002,2.73,24.0,48.2,20.58
DEL_00280,ORD_00280,DRV_0061,3.28,16.0,42.0,29.29
DEL_00281,ORD_00281,DRV_0363,3.48,32.0,79.2,21.65
DEL_00282,ORD_00282,DRV_0107,5.82,10.0,66.7,20.04
DEL_00283,ORD_00283,DRV_0134,2.92,22.0,71.9,50.78
DEL_00284,ORD_00284,DRV_0409,4.52,21.0,54.7,25.84
DEL_00285,ORD_00285,DRV_0451,1.86,28.0,60.2,14.18
DEL_00286,ORD_00286,DRV_0023,2.25,30.0,59.9,25.63
DEL_00287,ORD_00287,DRV_0073,6.06,21.0,75.9,29.99
DEL_00288,ORD_00288,DRV_0351,2.94,19.0,46.0,32.07
DEL_00289,ORD_00289,DRV_0028,1.98,23.0,61.2,26.59
DEL_00290,ORD_00290,DRV_0025,4.52,21.0,57.4,20.41
DEL_00291,ORD_00291,DRV_0355,3.98,30.0,49.2,34.53
DEL_00292,ORD_00292,DRV_0065,9.58,36.0,89.3,12.65
DEL_00293,ORD_00293,DRV_0194,5.52,41.0,85.3,19.8
DEL_00294,ORD_00294,DRV_0207,2.01,25.0,50.2,16.63
DEL_00295,ORD_00295,DRV_0299,1.17,21.0,39.9,18.28
DEL_00296,ORD_00296,DRV_0040,3.99,40.0,64.8,35.7
DEL_00297,ORD_00297,DRV_0464,7.17,15.0,72.4,19.07
DEL_00298,ORD_00298,DRV_0023,3.96,29.0,62.5,21.74
DEL_00299,ORD_00299,DRV_0177,4.07,30.0,73.2,52.99
DEL_00300,ORD_00300,DRV_0483,1.52,23.0,62.8,23.97
DEL_00301,ORD_00301,DRV_0264,2.66,24.0,60.7,26.5
DEL_00302,ORD_00302,DRV_0128,0.9,13.0,56.1,24.36
DEL_00303,ORD_00303,DRV_0263,5.63,21.0,65.0,33.34
DEL_00304,ORD_00304,DRV_0277,4.95,28.0,50.9,25.24
DEL_00305,ORD_00305,DRV_0035,4.27,22.0,59.9,16.85
DEL_00306,ORD_00306,DRV_0487,2.23,25.0,50.5,28.45
DEL_00307,ORD_00307,DRV_0101,1.81,21.0,53.0,59.61
DEL_00308,ORD_00308,DRV_0225,4.94,26.0,65.6,22.93
DEL_00309,ORD_00309,DRV_0229,4.83,21.0,66.6,19.2
DEL_00310,ORD_00310,DRV_0099,6.48,19.0,61.9,34.32
DEL_00311,ORD_00311,DRV_0082,4.81,34.0,72.9,19.83
DEL_00312,ORD_00312,DRV_0317,6.14,33.0,62.0,15.04
DEL_00313,ORD_00313,DRV_0467,4.88,36.0,73.9,56.12
DEL_00314,ORD_00314,DRV_0330,8.01,18.0,77.1,12.22
DEL_00315,ORD_00315,DRV_0196,3.13,26.0,37.1,20.43
DEL_00316,ORD_00316,DRV_0414,4.84,10.0,42.9,8.38
DEL_00317,ORD_00317,DRV_0365,5.91,22.0,48.6,23.56
DEL_00318,ORD_00318,DRV_0481,4.18,39.0,65.8,22.69
DEL_00319,ORD_00319,DRV_0068,0.65,15.0,40.1,14.2
DEL_00320,ORD_00320,DRV_0393,5.7,23.0,85.6,13.8
DEL_00321,ORD_00321,DRV_0273,2.63,27.0,49.0,37.58
DEL_00322,ORD_00322,DRV_0299,2.08,30.0,44.0,63.55
DEL_00323,ORD_00323,DRV_0359,1.62,40.0,62.8,22.74
DEL_00324,ORD_00324,DRV_0344,6.6,12.0,56.4,20.57
DEL_00325,ORD_00325,DRV_0441,4.35,25.0,77.9,33.25
DEL_00326,ORD_00326,DRV_0359,1.74,32.0,42.7,84.6
DEL_00327,ORD_00327,DRV_0141,1.94,36.0,65.0,24.99
DEL_00328,ORD_00328,DRV_0185,4.04,44.0,95.9,18.51
DEL_00329,ORD_00329,DRV_0154,1.75,23.0,62.9,13.29
DEL_00330,ORD_00330,DRV_0189,4.38,40.0,84.8,16.72
DEL_00331,ORD_00331,DRV_0062,7.35,26.0,69.3,34.46
DEL_00332,ORD_00332,DRV_0019,8.21,34.0,83.7,31.82
DEL_00333,ORD_00333,DRV_0081,6.62,28.0,82.6,42.42
DEL_00334,ORD_00334,DRV_0498,9.98,32.0,92.2,36.95
DEL_00335,ORD_00335,DRV_0030,4.56,27.0,61.7,16.46
DEL_00336,ORD_00336,DRV_0127,12.99,39.0,110.9,64.62
DEL_00337,ORD_00337,DRV_0218,11.48,15.0,79.0,16.84
DEL_00338,ORD_00338,DRV_0013,4.73,14.0,68.0,60.33
DEL_00339,ORD_00339,DRV_0177,3.09,12.0,50.0,45.51
DEL_00340,ORD_00340,DRV_0338,3.3,31.0,57.8,21.0
DEL_00341,ORD_00341,DRV_0121,1.0,29.0,61.9,64.07
DEL_00342,ORD_00342,DRV_0469,3.12,34.0,57.7,58.15
DEL_00343,ORD_00343,DRV_0372,1.35,18.0,36.7,32.14
DEL_00344,ORD_00344,DRV_0482,7.07,39.0,73.5,11.85
DEL_00345,ORD_00345,DRV_0179,1.17,9.0,44.1,22.8
DEL_00346,ORD_00346,DRV_0111,5.59,19.0,66.7,44.81
DEL_00347,ORD_00347,DRV_0009,3.06,18.0,61.1,10.35
DEL_00348,ORD_00348,DRV_0222,6.99,26.0,70.7,56.31
DEL_00349,ORD_00349,DRV_0285,3.35,23.0,46.1,17.5
DEL_00350,ORD_00350,DRV_0349,5.77,13.0,51.4,38.77
DEL_00351,ORD_00351,DRV_0110,5.53,31.0,64.7,23.75
DEL_00352,ORD_00352,DRV_0467,2.99,15.0,33.6,20.45
DEL_00353,ORD_00353,DRV_0136,4.86,27.0,72.6,22.01
DEL_00354,ORD_00354,DRV_0108,5.92,24.0,55.4,16.51
DEL_00355,ORD_00355,DRV_0337,7.01,16.0,67.3,40.97
DEL_00356,ORD_00356,DRV_0204,0.78,17.0,27.1,18.65
DEL_00357,ORD_00357,DRV_0015,1.32,28.0,31.9,35.23
DEL_00358,ORD_00358,DRV_0453,6.19,11.0,53.5,12.65
DEL_00359,ORD_00359,DRV_0162,2.94,27.0,51.9,24.59
DEL_00360,ORD_00360,DRV_0436,4.32,17.0,36.5,36.03
DEL_00361,ORD_00361,DRV_0434,0.9,21.0,54.2,93.93
DEL_00362,ORD_00362,DRV_0195,13.05,40.0,98.6,33.22
DEL_00363,ORD_00363,DRV_0261,1.95,16.0,35.2,15.13
DEL_00364,ORD_00364,DRV_0354,4.97,36.0,79.9,22.43
DEL_00365,ORD_00365,DRV_0009,2.29,24.0,37.9,30.41
DEL_00366,ORD_00366,DRV_0216,8.35,20.0,69.6,71.33
DEL_00367,ORD_00367,DRV_0261,7.06,35.0,72.2,39.75
DEL_00368,ORD_00368,DRV_0411,7.61,21.0,57.6,28.36
DEL_00369,ORD_00369,DRV_0113,5.62,36.0,66.5,28.64
DEL_00370,ORD_00370,DRV_0117,6.58,26.0,68.7,14.77
DEL_00371,ORD_00371,DRV_0340,2.85,10.0,45.7,25.56
DEL_00372,ORD_00372,DRV_0047,8.83,16.0,84.8,20.06
DEL_00373,ORD_00373,DRV_0318,3.75,8.0,40.0,19.5
DEL_00374,ORD_00374,DRV_0301,2.02,31.0,47.4,3.38
DEL_00375,ORD_00375,DRV_0489,3.74,42.0,83.7,24.61
