order_id,customer_id,restaurant_id,order_timestamp,order_amount,number_of_items,weather,traffic_condition,order_status,preparation_time_minutes
ORD_00084,CUST_0012,REST_087,2026-04-03 06:33:59,100.0,4,Rain,Medium,Cancelled,18.0
ORD_00085,CUST_0906,REST_021,2026-03-31 03:32:13,100.0,5,Cloudy,Low,Cancelled,26.0
ORD_00086,CUST_0921,REST_055,2026-02-19 12:02:57,349.98,3,Clear,High,Delivered,37.0
ORD_00087,CUST_0689,REST_076,2026-01-27 01:00:56,129.37,1,Clear,Medium,Delivered,16.0
ORD_00088,CUST_0177,REST_057,2026-06-06 06:38:04,150.45,2,Clear,High,Delivered,26.0
ORD_00089,CUST_0217,REST_002,2026-05-05 08:41:11,402.5,1,Clear,High,Delivered,41.0
ORD_00090,CUST_0011,REST_013,2026-02-25 22:37:41,100.0,5,Clear,Medium,Delivered,13.0
ORD_00091,CUST_0446,REST_004,2026-05-19 15:16:57,121.53,6,Rain,High,Delivered,14.0
ORD_00092,CUST_0630,REST_084,2026-01-15 23:18:40,118.77,3,Clear,Low,Delivered,25.0
ORD_00093,CUST_0164,REST_050,2026-01-30 07:23:50,441.39,1,Cloudy,Medium,Delivered,20.0
ORD_00094,CUST_0551,REST_048,2026-05-29 21:33:04,542.59,3,Rain,Low,Delivered,38.0
ORD_00095,CUST_0053,REST_078,2026-02-16 17:01:42,274.06,4,Clear,High,Delivered,32.0
ORD_00096,CUST_0218,REST_030,2026-05-24 16:25:33,278.9,2,Cloudy,High,Delivered,25.0
ORD_00097,CUST_0718,REST_029,2026-01-06 00:17:53,131.74,5,Rain,High,Delivered,32.0
ORD_00098,CUST_0999,REST_008,2026-04-25 02:29:43,529.02,1,Clear,Low,Delivered,25.0
ORD_00099,CUST_0824,REST_012,2026-01-06 13:45:37,210.03,2,Clear,Medium,Delivered,15.0
ORD_00100,CUST_0360,REST_041,2026-05-23 13:42:58,289.81,5,Heavy Rain,Medium,Delivered,34.0
ORD_00101,CUST_0385,REST_026,2026-06-03 03:36:59,171.05,5,Heavy Rain,Low,Cancelled,37.0
ORD_00102,CUST_0056,REST_050,2026-05-02 05:51:14,156.43,6,Clear,Low,Delivered,23.0
ORD_00103,CUST_0118,REST_002,2026-06-12 09:13:04,452.45,4,Clear,Medium,Delivered,40.0
ORD_00104,CUST_0900,REST_055,2026-05-31 05:04:52,243.92,6,Clear,High,Delivered,39.0
ORD_00105,CUST_0253,REST_056,2026-05-18 22:29:29,402.73,6,Clear,Medium,Delivered,30.0
ORD_00106,CUST_0798,REST_014,2026-05-07 23:41:40,208.6,3,Clear,Medium,Delivered,31.0
ORD_00107,CUST_0780,REST_006,2026-04-29 02:59:57,113.68,3,Cloudy,Medium,Delivered,17.0
ORD_00108,CUST_0803,REST_095,2026-06-12 07:11:40,131.52,2,Rain,Medium,Cancelled,33.0
ORD_00109,CUST_0845,REST_081,2026-06-23 20:43:52,191.83,4,Clear,High,Delivered,29.0
ORD_00110,CUST_0180,REST_089,2026-03-10 11:30:45,128.44,5,Rain,Medium,Delivered,17.0
ORD_00111,CUST_0415,REST_061,2026-04-26 07:51:33,100.0,4,Clear,Low,Delivered,33.0
ORD_00112,CUST_0870,REST_096,2026-05-30 07:22:26,351.0,4,Clear,Medium,Delivered,34.0
ORD_00113,CUST_0235,REST_012,2026-01-17 22:45:08,134.33,2,Cloudy,High,Delivered,14.0
ORD_00114,CUST_0855,REST_013,2026-01-23 21:02:33,195.59,3,Clear,Medium,Delivered,17.0
ORD_00115,CUST_0708,REST_019,2026-03-12 07:42:46,213.34,4,Clear,Medium,Delivered,25.0
ORD_00116,CUST_0820,REST_044,2026-04-22 05:39:46,131.17,4,Rain,Low,Delivered,21.0
ORD_00117,CUST_0080,REST_089,2026-06-08 23:29:21,402.6,4,Clear,Low,Delivered,17.0
ORD_00118,CUST_0647,REST_095,2026-05-26 13:31:32,100.0,1,Cloudy,High,Delivered,25.0
ORD_00119,CUST_0022,REST_059,2026-05-26 00:25:54,209.33,4,Clear,Medium,Delivered,37.0
ORD_00120,CUST_0477,REST_037,2026-03-17 18:47:32,207.55,4,Clear,Medium,Delivered,19.0
ORD_00121,CUST_0843,REST_025,2026-03-12 23:49:44,175.94,5,Cloudy,Medium,Delivered,30.0
ORD_00122,CUST_0440,REST_016,2026-01-03 14:07:06,100.0,6,Rain,High,Delivered,26.0
ORD_00123,CUST_0737,REST_038,2026-04-07 12:42:49,292.64,1,Clear,Low,Delivered,33.0
ORD_00124,CUST_0570,REST_043,2026-03-17 06:09:20,272.85,4,Cloudy,High,Delivered,22.0
ORD_00125,CUST_0093,REST_087,2026-01-28 00:15:31,125.02,6,Rain,Medium,Delivered,13.0
ORD_00126,CUST_0192,REST_014,2026-05-25 22:02:01,267.5,4,Rain,High,Delivered,27.0
ORD_00127,CUST_0103,REST_006,2026-06-06 13:00:14,222.78,2,Clear,High,Delivered,20.0
ORD_00128,CUST_0396,REST_089,2026-05-06 22:10:39,100.0,2,Cloudy,Medium,Cancelled,21.0
ORD_00129,CUST_0007,REST_023,2026-01-31 12:39:48,113.33,6,Cloudy,Low,Delivered,42.0
ORD_00130,CUST_0640,REST_060,2026-03-15 19:40:01,339.02,1,Cloudy,Low,Cancelled,24.0
ORD_00131,CUST_0567,REST_012,2026-01-13 18:23:55,214.9,5,Clear,High,Delivered,13.0
ORD_00132,CUST_0231,REST_013,2026-03-23 08:49:21,132.9,1,Clear,Low,Delivered,14.0
ORD_00133,CUST_0874,REST_100,2026-05-24 13:49:52,113.05,1,Cloudy,Low,Delivered,28.0
ORD_00134,CUST_0574,REST_098,2026-06-23 16:59:57,136.53,2,Clear,Low,Delivered,22.0
ORD_00135,CUST_0240,REST_006,2026-01-19 02:57:11,141.96,2,Cloudy,Medium,Delivered,21.0
ORD_00136,CUST_0090,REST_063,2026-03-19 11:06:41,113.83,5,Rain,Low,Delivered,11.0
ORD_00137,CUST_0232,REST_038,2026-02-19 14:37:38,100.0,4,Rain,High,Delivered,31.0
ORD_00138,CUST_0457,REST_050,2026-06-17 03:23:58,339.34,5,Clear,High,Delivered,28.0
ORD_00139,CUST_0233,REST_052,2026-01-11 22:22:25,309.16,4,Clear,Medium,Delivered,24.0
ORD_00140,CUST_0354,REST_040,2026-02-25 15:32:51,100.0,6,Cloudy,Medium,Delivered,25.0
ORD_00141,CUST_0333,REST_008,2026-04-11 08:50:05,195.38,6,Cloudy,Medium,Delivered,24.0
ORD_00142,CUST_0439,REST_061,2026-01-11 05:13:36,110.36,3,Heavy Rain,Medium,Delivered,39.0
ORD_00143,CUST_0375,REST_008,2026-01-06 17:57:06,156.98,2,Cloudy,Medium,Delivered,24.0
ORD_00144,CUST_0292,REST_097,2026-02-08 08:33:24,149.96,3,Clear,Medium,Delivered,12.0
ORD_00145,CUST_0345,REST_034,2026-06-18 05:37:45,143.26,3,Cloudy,Medium,Delivered,18.0
ORD_00146,CUST_0664,REST_079,2026-04-28 07:13:04,545.46,2,Cloudy,Medium,Delivered,25.0
ORD_00147,CUST_0428,REST_100,2026-02-21 05:38:39,142.28,3,Cloudy,Medium,Delivered,35.0
ORD_00148,CUST_0657,REST_060,2026-03-25 09:16:03,116.22,1,Cloudy,Medium,Delivered,21.0
ORD_00149,CUST_0130,REST_057,2026-01-06 06:11:58,119.17,4,Clear,Low,Delivered,20.0
ORD_00150,CUST_0141,REST_099,2026-05-16 02:41:39,321.85,5,Clear,Medium,Delivered,28.0
ORD_00151,CUST_0415,REST_046,2026-04-04 19:06:14,100.0,2,Clear,Medium,Delivered,23.0
ORD_00152,CUST_0093,REST_022,2026-01-04 05:20:29,119.17,1,Clear,Medium,Cancelled,23.0
ORD_00153,CUST_0626,REST_087,2026-02-22 07:00:37,401.72,6,Clear,Medium,Delivered,12.0
ORD_00154,CUST_0284,REST_040,2026-06-20 01:40:08,207.31,5,Rain,High,Delivered,27.0
ORD_00155,CUST_0956,REST_045,2026-04-15 07:52:17,201.45,5,Clear,Low,Delivered,33.0
ORD_00156,CUST_0923,REST_055,2026-04-30 08:34:52,585.63,5,Rain,Medium,Delivered,40.0
ORD_00157,CUST_0655,REST_051,2026-03-25 00:37:29,207.57,3,Clear,Medium,Delivered,14.0
ORD_00158,CUST_0223,REST_086,2026-01-19 20:00:55,122.79,3,Clear,Medium,Delivered,37.0
ORD_00159,CUST_0744,REST_005,2026-05-26 15:41:59,155.22,3,Clear,Medium,Delivered,41.0
ORD_00160,CUST_0463,REST_095,2026-03-05 16:39:54,100.0,3,Clear,High,Delivered,27.0
ORD_00161,CUST_0545,REST_013,2026-05-14 12:48:09,361.68,1,Rain,Low,Delivered,9.0
ORD_00162,CUST_0276,REST_028,2026-03-11 02:15:09,248.64,3,Clear,High,Delivered,26.0
ORD_00163,CUST_0682,REST_084,2026-04-19 14:23:54,336.44,2,Clear,High,Delivered,25.0
ORD_00164,CUST_0140,REST_097,2026-05-12 04:17:55,353.24,5,Rain,Medium,Delivered,9.0
ORD_00165,CUST_0357,REST_080,2026-03-08 13:07:01,144.34,1,Clear,High,Cancelled,27.0
ORD_00166,CUST_0713,REST_062,2026-05-22 21:31:54,107.81,6,Clear,Medium,Delivered,21.0
ORD_00167,CUST_0023,REST_093,2026-02-06 04:50:13,176.19,3,Clear,Medium,Delivered,22.0
ORD_00168,CUST_0968,REST_087,2026-06-06 00:08:52,112.17,6,Clear,High,Delivered,9.0
ORD_00169,CUST_0736,REST_024,2026-03-02 13:33:49,198.49,5,Clear,Low,Delivered,29.0
ORD_00170,CUST_0880,REST_098,2026-04-06 11:15:44,337.87,1,Clear,Low,Delivered,27.0
ORD_00171,CUST_0270,REST_007,2026-03-05 20:16:18,165.26,5,Rain,Low,Delivered,16.0
ORD_00172,CUST_0859,REST_038,2026-04-18 15:29:42,196.86,6,Rain,Medium,Delivered,30.0
ORD_00173,CUST_0665,REST_037,2026-06-15 11:04:55,172.15,1,Clear,Low,Cancelled,19.0
ORD_00174,CUST_0333,REST_068,2026-04-27 07:40:01,281.89,4,Clear,High,Delivered,27.0
ORD_00175,CUST_0085,REST_098,2026-03-05 01:50:26,125.55,1,Clear,Medium,Delivered,24.0
ORD_00176,CUST_0621,REST_042,2026-02-26 19:26:34,100.0,3,Cloudy,High,Delivered,28.0
ORD_00177,CUST_0031,REST_086,2026-02-09 10:20:20,234.86,6,Clear,Low,Cancelled,38.0
ORD_00178,CUST_0741,REST_005,2026-01-29 08:07:46,312.1,5,Rain,Medium,Delivered,34.0
ORD_00179,CUST_0240,REST_064,2026-04-25 01:58:12,231.71,5,Cloudy,Low,Delivered,14.0
ORD_00180,CUST_0890,REST_050,2026-05-08 22:52:39,127.47,5,Clear,Low,Delivered,30.0
ORD_00181,CUST_0363,REST_087,2026-05-13 20:31:57,100.0,2,Cloudy,Medium,Delivered,15.0
ORD_00182,CUST_0822,REST_015,2026-01-06 10:14:57,237.93,2,Clear,High,Delivered,33.0
ORD_00183,CUST_0389,REST_095,2026-05-17 02:51:01,195.94,3,Clear,Medium,Delivered,24.0
ORD_00184,CUST_0653,REST_073,2026-05-30 03:02:27,169.15,4,Clear,Medium,Delivered,42.0
ORD_00185,CUST_0668,REST_053,2026-03-09 07:41:44,493.91,2,Clear,Medium,Delivered,20.0
ORD_00186,CUST_0299,REST_025,2026-02-06 14:30:33,107.69,1,Cloudy,Low,Delivered,27.0
ORD_00187,CUST_0857,REST_089,2026-03-27 07:18:25,481.19,6,Cloudy,Medium,Delivered,18.0
ORD_00188,CUST_0371,REST_085,2026-01-14 14:02:47,184.47,3,Clear,Low,Delivered,18.0
ORD_00189,CUST_0099,REST_009,2026-02-08 05:30:34,100.0,4,Heavy Rain,High,Delivered,21.0
ORD_00190,CUST_0047,REST_038,2026-01-01 18:28:58,164.26,1,Clear,High,Delivered,33.0
ORD_00191,CUST_0999,REST_022,2026-06-08 23:34:18,307.27,5,Clear,Medium,Delivered,21.0
ORD_00192,CUST_0839,REST_087,2026-02-26 12:10:37,148.3,2,Clear,Medium,Delivered,15.0
ORD_00193,CUST_0422,REST_049,2026-01-23 07:39:07,100.0,1,Cloudy,Low,Delivered,32.0
ORD_00194,CUST_0480,REST_068,2026-05-05 09:29:45,165.59,4,Heavy Rain,Medium,Delivered,24.0
ORD_00195,CUST_0579,REST_093,2026-02-20 19:21:36,113.13,3,Cloudy,High,Delivered,21.0
ORD_00196,CUST_0062,REST_015,2026-04-21 17:16:17,237.58,1,Rain,High,Delivered,27.0
ORD_00197,CUST_0109,REST_065,2026-02-03 12:08:34,277.37,3,Clear,Low,Delivered,24.0
ORD_00198,CUST_0679,REST_054,2026-06-10 08:30:00,101.4,5,Clear,Low,Delivered,23.0
ORD_00199,CUST_0549,REST_030,2026-03-12 14:57:45,122.95,4,Cloudy,Medium,Delivered,26.0
ORD_00200,CUST_0119,REST_093,2026-05-28 08:06:35,274.83,4,Cloudy,High,Delivered,24.0
ORD_00201,CUST_0598,REST_020,2026-04-21 04:38:41,113.03,2,Clear,High,Delivered,23.0
ORD_00202,CUST_0382,REST_033,2026-02-25 07:39:37,100.0,6,Rain,Medium,Delivered,31.0
ORD_00203,CUST_0392,REST_100,2026-06-14 00:53:40,100.0,4,Clear,High,Delivered,30.0
ORD_00204,CUST_0977,REST_086,2026-04-13 02:01:56,220.0,1,Clear,High,Delivered,41.0
ORD_00205,CUST_0052,REST_077,2026-02-26 00:41:36,214.87,1,Cloudy,Low,Delivered,20.0
ORD_00206,CUST_0603,REST_007,2026-01-02 13:52:02,124.43,1,Cloudy,High,Delivered,20.0
ORD_00207,CUST_0289,REST_008,2026-01-03 23:41:56,181.78,5,Clear,Low,Delivered,29.0
ORD_00208,CUST_0337,REST_028,2026-02-15 18:44:09,419.86,4,Clear,Medium,Delivered,25.0
ORD_00209,CUST_0810,REST_045,2026-01-25 15:43:59,106.09,4,Clear,Low,Delivered,41.0
ORD_00210,CUST_0204,REST_073,2026-06-08 15:37:20,100.0,1,Cloudy,Medium,Delivered,41.0
ORD_00211,CUST_0880,REST_089,2026-03-11 07:35:35,232.83,2,Rain,High,Delivered,25.0
ORD_00212,CUST_0238,REST_080,2026-01-25 16:38:40,170.59,2,Cloudy,Medium,Delivered,31.0
ORD_00213,CUST_0382,REST_074,2026-04-27 16:35:20,122.67,4,Clear,Low,Delivered,9.0
ORD_00214,CUST_0667,REST_011,2026-03-24 17:45:03,259.47,4,Heavy Rain,Low,Delivered,13.0
ORD_00215,CUST_0752,REST_031,2026-05-15 13:10:29,287.6,3,Rain,Medium,Delivered,29.0
ORD_00216,CUST_0136,REST_012,2026-03-14 15:33:59,100.0,4,Clear,Medium,Delivered,18.0
ORD_00217,CUST_0407,REST_095,2026-06-02 09:15:00,126.6,1,Clear,Medium,Delivered,30.0
ORD_00218,CUST_0508,REST_078,2026-03-11 23:06:46,648.48,6,Clear,Low,Delivered,36.0
ORD_00219,CUST_0362,REST_051,2026-03-07 01:31:50,249.85,5,Clear,High,Delivered,13.0
ORD_00220,CUST_0381,REST_044,2026-05-10 11:18:06,262.92,4,Rain,High,Delivered,24.0
ORD_00221,CUST_0881,REST_096,2026-03-17 09:20:38,345.53,4,Rain,Medium,Delivered,31.0
ORD_00222,CUST_0576,REST_050,2026-05-04 04:09:25,182.98,1,Rain,Medium,Delivered,30.0
ORD_00223,CUST_0635,REST_017,2026-04-29 17:04:26,280.95,3,Clear,High,Delivered,18.0
ORD_00224,CUST_0254,REST_035,2026-01-20 08:04:23,269.06,6,Cloudy,Medium,Delivered,26.0
ORD_00225,CUST_0477,REST_001,2026-03-16 08:01:12,243.83,4,Clear,Medium,Delivered,17.0
ORD_00226,CUST_0114,REST_029,2026-04-07 11:51:42,151.85,2,Clear,Medium,Delivered,30.0
ORD_00227,CUST_0020,REST_051,2026-06-20 11:08:54,199.26,2,Cloudy,Low,Delivered,11.0
ORD_00228,CUST_0528,REST_064,2026-03-11 20:14:38,131.16,2,Clear,Medium,Delivered,13.0
ORD_00229,CUST_0145,REST_004,2026-02-23 04:17:21,182.55,5,Cloudy,High,Delivered,10.0
ORD_00230,CUST_0208,REST_087,2026-05-10 02:49:57,100.0,5,Cloudy,Low,Delivered,12.0
ORD_00231,CUST_0531,REST_028,2026-03-23 01:22:57,117.35,6,Rain,High,Delivered,24.0
ORD_00232,CUST_0376,REST_016,2026-03-26 13:22:17,155.2,4,Clear,Medium,Cancelled,26.0
ORD_00233,CUST_0504,REST_063,2026-04-01 10:52:37,107.87,4,Rain,Medium,Delivered,18.0
ORD_00234,CUST_0904,REST_076,2026-02-04 09:16:33,137.31,4,Heavy Rain,Medium,Delivered,14.0
ORD_00235,CUST_0166,REST_053,2026-06-08 04:59:12,165.64,5,Rain,Medium,Delivered,17.0
ORD_00236,CUST_0550,REST_085,2026-03-01 03:37:42,226.16,6,Rain,High,Delivered,13.0
ORD_00237,CUST_0181,REST_017,2026-01-19 00:23:30,305.54,4,Cloudy,Medium,Delivered,14.0
ORD_00238,CUST_0861,REST_040,2026-01-22 06:05:01,140.46,1,Clear,High,Delivered,23.0
ORD_00239,CUST_0617,REST_013,2026-02-05 03:38:19,377.78,3,Cloudy,Medium,Delivered,17.0
ORD_00240,CUST_0612,REST_052,2026-04-25 23:54:21,303.76,2,Cloudy,Medium,Delivered,26.0
ORD_00241,CUST_0602,REST_058,2026-01-04 14:29:16,239.19,2,Cloudy,High,Delivered,15.0
ORD_00242,CUST_0927,REST_096,2026-05-13 22:56:35,197.26,1,Rain,Low,Delivered,33.0
ORD_00243,CUST_0812,REST_037,2026-02-07 06:43:24,216.05,4,Clear,Medium,Delivered,16.0
ORD_00244,CUST_0444,REST_079,2026-04-05 04:50:23,348.24,6,Clear,Low,Delivered,25.0
ORD_00245,CUST_0332,REST_076,2026-03-15 13:44:47,355.3,6,Cloudy,High,Delivered,16.0
ORD_00246,CUST_0503,REST_061,2026-03-10 00:04:05,377.75,5,Clear,Medium,Delivered,31.0
ORD_00247,CUST_0913,REST_079,2026-06-09 17:46:44,185.44,4,Clear,High,Delivered,33.0
ORD_00248,CUST_0079,REST_034,2026-03-05 23:12:51,245.98,6,Clear,High,Delivered,18.0
ORD_00249,CUST_0585,REST_070,2026-05-11 04:19:36,379.54,4,Clear,Low,Delivered,18.0
ORD_00250,CUST_0935,REST_017,2026-06-13 04:10:13,128.63,2,Rain,Low,Delivered,10.0
ORD_00251,CUST_0938,REST_020,2026-05-26 01:18:29,152.15,2,Cloudy,Medium,Delivered,22.0
ORD_00252,CUST_0688,REST_073,2026-05-19 09:34:41,182.88,5,Clear,Medium,Delivered,39.0
